STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,Cue #2,Masked Auditory Cues,,Auditory,,,Emphatic,Captured,,,,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,,Movement,Discover,,Single,Integrated,Operational/Military,Non-Masked Auditory Cue,"Response Time, Workload Capacity, & Accuracy","Although it reduced visual search time compared to no cue, it was less effective than the non-masked cue.",14,,,
3 - Brendan,Adaptive Visual Cues for Guiding a Bimanual Unordered Task in Virtual Reality,Static Replica,https://doi.org/10.1109/ISMAR55827.2022.00059,Visual,,,Replica,Symbolic,,,3,Exocentric,,,Persistent,Direction,Position,,,Movement,Manipulate,,Single,Integrated,Educational/Training,Eye Gaze Adaptive Cue,Task Completion Time & Accuracy,Dynamic updating of cues via eye gaze reduced task completion time more effectively than those updated by hand proximity. Locking the cues (keeping them visible despite other interactions) further improved performance.,15,"We define cues as visualizations that provide information about actionable steps to guide users to perform them. This differs from the definitions used in previous work, which distinguished a cue for the current step and one or more predictive cues",,
,,Hand Proximinity Replica,,Visual,,,Replica,Symbolic,,,3,Exocentric,Proprioceptive - Egocentric,,Context,Direction,Position,,,Movement,Manipulate,,Single,Integrated,Educational/Training,Eye Gaze Adaptive Cue,Task Completion Time & Accuracy,Dynamic updating of cues via eye gaze reduced task completion time more effectively than those updated by hand proximity. Locking the cues (keeping them visible despite other interactions) further improved performance.,15,,,
,,Eye Gaze Replica,,Visual,,,Replica,Symbolic,,,3,Exocentric,Retinocentric - Egocentric,,Context,Direction,Position,,,Movement,Manipulate,,Single,Integrated,Educational/Training,Eye Gaze Adaptive Cue,Task Completion Time & Accuracy,Dynamic updating of cues via eye gaze reduced task completion time more effectively than those updated by hand proximity. Locking the cues (keeping them visible despite other interactions) further improved performance.,15,,,
4 - Brendan,In-situ or side-by-side? A user study on augmented reality maintenance instructions in blind areas,3D In-Situ X-Ray Models,https://doi.org/10.1016/j.compind.2022.103795,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Emphasized,Maintaince,3D In-Situ X-Ray Models,"Completion Time, Accuracy, & Cognitive Load","Most effective for quick task completion, suggesting a clear and direct presentation helps reduce operation time.",42,,,
,Cue #2,3D Side-by-side Model Replicating,,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Integrated,Maintaince,3D In-Situ X-Ray Models,"Completion Time, Accuracy, & Cognitive Load","Effective but slightly less so than in-situ, suggesting that having to mentally translate between the CAD model and the real environment can add time.",42,,,
,Cue #3,2D Side-by-side Virtual Mirror,,Visual,,,Characterized,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Maintaince,3D In-Situ X-Ray Models,"Completion Time, Accuracy, & Cognitive Load","Did not improve performance, indicating potential issues with spatial orientation and interpretation.",42,,,
5 - Brendan,Assisting Manipulation and Grasping in Robot Teleoperation with Augmented Reality Visual Cues,Basic: Laser-Pointer,https://doi.org/10.1145/3411764.3445398,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",Provided general guidance but may contribute to higher cognitive load due to their complexity and the presence of multiple visual elements. Useful for offering spatial orientation but may be visually cluttered.,36,,,
,Cue #2,Basic: ColorMap,,Visual,,,Captured,,,,3,Exocentric,,,Persistent,,Position,,,,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",Provided general guidance but may contribute to higher cognitive load due to their complexity and the presence of multiple visual elements. Useful for offering spatial orientation but may be visually cluttered.,36,,,
,Cue #3,Basic: Colored Cursor,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",Provided general guidance but may contribute to higher cognitive load due to their complexity and the presence of multiple visual elements. Useful for offering spatial orientation but may be visually cluttered.,36,,,
,Cue #4,Basic: Colored-Hints on the Laser-Pointer,,Visual,,,Symbolic,Characterized,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",Provided general guidance but may contribute to higher cognitive load due to their complexity and the presence of multiple visual elements. Useful for offering spatial orientation but may be visually cluttered.,36,,,
,Cue #5,Basic: Virtual Circumference,,Visual,,,Symbolic,Characterized,,,3,Exocentric,,,Persistent,,Position,,,Other,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",Provided general guidance but may contribute to higher cognitive load due to their complexity and the presence of multiple visual elements. Useful for offering spatial orientation but may be visually cluttered.,36,,,
,Cue #6,Advanced: Laser-Pointer & Virtual Grip Region,,Visual,,,Symbolic,Characterized,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",More effective in reducing task time and errors; the integration of object-pose recognition significantly enhances task performance by providing more intuitive and context-aware visual assistance.,36,,,
,Cue #7,Advanced: Virtual Extensions,,Visual,,,Symbolic,,,,3,Exocentric,,,Context,,Position,,,Other,Manipulate,,Single,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",More effective in reducing task time and errors; the integration of object-pose recognition significantly enhances task performance by providing more intuitive and context-aware visual assistance.,36,,,
,Cue #8,Advanced: Ghost Object and Ghost Gripper,,Visual,,,Symbolic,Replica,,,3,Exocentric,,,Context,,Position,Proximity,Transition,Movement,Manipulate,,Multiple,Integrated,Industrial,"Advanced augmented visual cues showed the highest performance in terms of task completion time and error reduction, indicating a stronger response","Task Completion Time, Accuracy, Error Rate, & Cognitive Load (NASA-TLX)",More effective in reducing task time and errors; the integration of object-pose recognition significantly enhances task performance by providing more intuitive and context-aware visual assistance.,36,,,
6 - Brendan,Augmented Reality and Older Adults: A Comparison of Prompting Types,Arrow,10.1145/3411764.3445476,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,Movement,Operate,Manipulate,Single,Integrated,Assistive Technology for Older Adults,Ghosthand was the most preferred visual prompt due to its clarity and direct guidance on interaction methods,"Successful Completion of Actions, user Confidence in Performing Actions Correctly, Time Taken to Perform Actions, and User Preference",Less effective as users understood the direction but were unclear on the action,20,,,
,Cue #2,Highlight,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,Movement,Operate,Manipulate,Single,Integrated,Assistive Technology for Older Adults,Ghosthand was the most preferred visual prompt due to its clarity and direct guidance on interaction methods,"Successful Completion of Actions, user Confidence in Performing Actions Correctly, Time Taken to Perform Actions, and User Preference",Noted for being less preferred due to ambiguity in action instruction,20,,,
,Cue #3,Object,,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,,,Movement,Operate,Manipulate,Single,Emphasized,Assistive Technology for Older Adults,Ghosthand was the most preferred visual prompt due to its clarity and direct guidance on interaction methods,"Successful Completion of Actions, user Confidence in Performing Actions Correctly, Time Taken to Perform Actions, and User Preference",Effective in showing what to do with an object but not as preferred as Ghosthand,20,,,
,Cue #4,Ghosthand,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,Movement,Operate,Manipulate,Single,Integrated,Assistive Technology for Older Adults,Ghosthand was the most preferred visual prompt due to its clarity and direct guidance on interaction methods,"Successful Completion of Actions, user Confidence in Performing Actions Correctly, Time Taken to Perform Actions, and User Preference",Most effective and preferred for its clarity and intuitive display of actions,20,,,
7 - Brendan,The Effects of Augmented Reality Visual Cues on Turning in Place in Parkinson's Disease Patients With Freezing of Gait,Visual Cue (Yellow Sphere),https://doi.org/10.3389/fneur.2020.00185,Visual,,,Symbolic,,,,3,Headcentric - Egocentric,,,Persistent,Direction,,,,Movement,Gesture,,Single,Integrated,Medical - Parkinson's Disease,"The study found that AR visual cues did not improve the percent time frozen, number, or duration of FOG episodes. In fact, all FOG parameters were higher with AR visual cues than with auditory cues, indicating that AR visual cues might not be as effective as expected.","Percent time frozen, number and duration of FOG episodes, peak angular velocity, step height, coefficient of variation of step height, and time to maximum head–pelvis separation.","AR visual cues were found to potentially worsen certain measures of axial kinematics and turning scaling and timing, despite hypothesized benefits.",16,,,
,Cue #2,Auditory (Control),,Auditory,,,Replica,,,,,Headcentric - Egocentric,,,Persistent,,,,Other,Movement,Gesture,,Single,Subtle,Medical - Parkinson's Disease,"The study found that AR visual cues did not improve the percent time frozen, number, or duration of FOG episodes. In fact, all FOG parameters were higher with AR visual cues than with auditory cues, indicating that AR visual cues might not be as effective as expected.","Percent time frozen, number and duration of FOG episodes, peak angular velocity, step height, coefficient of variation of step height, and time to maximum head–pelvis separation.","The metronome beat helped participants synchronize their movements, which may have contributed to reducing the severity and occurrence of FOG episodes. The rhythmic nature of the sound likely provided a clear and consistent external timing signal that patients could follow, helping to override some of the motor control deficits associated with Parkinson’s Disease.",16,,,
8 - Brendan,Visualizing out-of-view objects in head-mounted augmented reality,Arrow,10.1145/3098279.3122124,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,,,,,Discover,,Single,Overlaid,Augmented Reality,"The Halo technique resulted in the lowest error for direction estimation, indicating it had the strongest performance in helping users accurately determine the direction to off-view objects.",Direction error (measured as angular error between the user’s assessment and the actual position of off-view objects).,Generally less effective in providing accurate direction information compared to Halo and Wedge.,22,,,
,Cue #2,Halo,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,Augmented Reality,"The Halo technique resulted in the lowest error for direction estimation, indicating it had the strongest performance in helping users accurately determine the direction to off-view objects.",Direction error (measured as angular error between the user’s assessment and the actual position of off-view objects).,"Performed best in terms of directional accuracy, suggesting its effectiveness in reducing clutter and improving perceptual accuracy.",22,,,
,Cue #3,Wedge,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,Augmented Reality,"The Halo technique resulted in the lowest error for direction estimation, indicating it had the strongest performance in helping users accurately determine the direction to off-view objects.",Direction error (measured as angular error between the user’s assessment and the actual position of off-view objects).,"Subjectively perceived as the best by users, indicating good user acceptance and potentially better usability in practical applications.",22,,,
9 - Brendan,Using augmented reality to cue obstacles for people with low vision,World-Locked Cues / Box,https://doi.org/10.1364/OE.479258,Visual,,,Emphatic,,,,3,Exocentric,,,Context,,Position,Proximity,,,Look,,Single,Emphasized,Augmented Reality for navigation assistance,The world-locked cues were found to be more effective and preferred by most participants compared to heads-up cues. They helped users better in understanding obstacle locations and dimensions due to their more direct and intuitive display.,"Direction error, usability ratings, and walking speed (percentage of preferred walking speed or PPWS).","Preferred due to their direct augmentation of real-world objects, making them easier to interpret and less cognitively demanding. They were also less disruptive to walking speeds.",20,,,
,Cue #2,Heads-Up Cues / Bars,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,,,Context,Direction,,Proximity,,,Look,,Single,Overlaid,Augmented Reality for navigation assistance,The world-locked cues were found to be more effective and preferred by most participants compared to heads-up cues. They helped users better in understanding obstacle locations and dimensions due to their more direct and intuitive display.,"Direction error, usability ratings, and walking speed (percentage of preferred walking speed or PPWS).","Found to be less effective in helping users navigate, potentially due to the cognitive load required to interpret directional information. They were also disruptive to natural walking speeds.",20,,,
10 - Brendan,Beyond Halo and Wedge: visualizing out-of-view objects on head-mounted virtual and augmented reality devices,HaloVR,https://doi.org/10.1145/3229434.3229438,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,VR and AR navigation and object location,"HaloAR showed the strongest response in terms of reducing direction error, which suggests that it was particularly effective in AR environments for helping users accurately perceive the direction to out-of-view objects.","Search time, object selection accuracy, SUS, and direction error","HaloVR & WedgeVR: Both had high usability with SUS scores indicating good user acceptance. Similar performance in terms of search time and object selection accuracy, with no significant differences found between them.",16/16,,,
,Cue #3,HaloAR,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,VR and AR navigation and object location,"HaloAR showed the strongest response in terms of reducing direction error, which suggests that it was particularly effective in AR environments for helping users accurately perceive the direction to out-of-view objects.","Search time, object selection accuracy, SUS and direction error","HaloAR & WedgeAR: HaloAR performed slightly better in direction estimation tasks, suggesting better effectiveness at conveying the relative position of out-of-view objects. Again, high usability was confirmed for both cues in AR settings.",16/16,,,
,Cue #2,WedgeVR,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,VR and AR navigation and object location,"HaloAR showed the strongest response in terms of reducing direction error, which suggests that it was particularly effective in AR environments for helping users accurately perceive the direction to out-of-view objects.","Search time, object selection accuracy, SUS and direction error","HaloVR & WedgeVR: Both had high usability with SUS scores indicating good user acceptance. Similar performance in terms of search time and object selection accuracy, with no significant differences found between them.",16/16,,,
,Cue #4,WedgeAR,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,,,Discover,,Single,Overlaid,VR and AR navigation and object location,"HaloAR showed the strongest response in terms of reducing direction error, which suggests that it was particularly effective in AR environments for helping users accurately perceive the direction to out-of-view objects.","Search time, object selection accuracy, SUS and direction error","HaloAR & WedgeAR: HaloAR performed slightly better in direction estimation tasks, suggesting better effectiveness at conveying the relative position of out-of-view objects. Again, high usability was confirmed for both cues in AR settings.",16/16,,,
11 - Brendan,Using visual and auditory cues to locate out-of-view objects in head-mounted augmented reality,Visual Cue: Arrow,https://doi.org/10.1016/j.displa.2021.102032,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Select,,Single,Overlaid,Visual Search in AR,"The addition of the auditory cue significantly enhanced the effectiveness of the visual cue in locating targets, especially under conditions of visual depth discrepancy.","Response time, accuracy in selecting the correct target, and subjective measures of task load (using a modified NASA-TLX questionnaire).","The visual cue alone was less effective when displayed on a different depth plane than the target, leading to slower response times and increased task load.",32,,,
,,Auditory Cue : Spatialized Sound,,Auditory,,,Symbolic,Characterized,,,,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Select,,Single,Integrated,Visual Search in AR,"The addition of the auditory cue significantly enhanced the effectiveness of the visual cue in locating targets, especially under conditions of visual depth discrepancy.","Response time, accuracy in selecting the correct target, and subjective measures of task load (using a modified NASA-TLX questionnaire).","The auditory cue substantially improved search performance, reducing the negative effects of depth discrepancy.",32,,,
14 - Brendan,Labeling Out-of-View Objects in Immersive Analytics to Support Situated Visual Searching,Situated Labels,10.1109/TVCG.2021.3133511,Visual,,,Symbolic,Alphanumeric,,,2,,Exocentric,,Persistent,,Position,,,,Discover,,Single,Overlaid,Visual Search in AR,"Angle-encoded labels demonstrated the best overall performance and user satisfaction, particularly in tasks requiring spatial navigation and orientation.","Completion Time, Error Rates, & User Satisfaction",Effective for quick identification; limited to objects within the field of view.,15,,,
,,Boundary Labels,,Visual,,,Symbolic,Alphanumeric,,,2,,Exocentric,,Persistent,,Position,,,,Discover,,Single,Overlaid,Visual Search in AR,"Angle-encoded labels demonstrated the best overall performance and user satisfaction, particularly in tasks requiring spatial navigation and orientation.","Completion Time, Error Rates, & User Satisfaction","Useful for reducing clutter by aligning labels along the screen boundary; however, can disconnect the label from its object, potentially increasing search time for linking labels back to objects.",15,,,
,,Height-Encoded Labels,,Visual,,,Symbolic,Alphanumeric,,,2,Headcentric - Egocentric,Exocentric,,Context,Direction,Position,,,,Discover,,Multiple,Overlaid,Visual Search in AR,"Angle-encoded labels demonstrated the best overall performance and user satisfaction, particularly in tasks requiring spatial navigation and orientation.","Completion Time, Error Rates, & User Satisfaction",Provides vertical positional cues but can lack precise directional guidance.,15,,,
